Celsius,Fahrenheit,Humidity
26.7,80.06,81.650399071867
27.2,80.96,79.286245923343
26.7,80.06,81.650399071867
26.1,78.98,84.592808399084
24.4,75.92,90.810007038205
23.9,75.02,93.575684398805
25.0,77.0,90.302538889004
28.3,82.94,82.336125590854
30.6,87.08000000000001,69.565270655215
31.7,89.06,63.407924037965
32.8,91.03999999999999,55.757590666635
33.9,93.02,52.422286397393
33.9,93.02,49.027453269803
34.4,93.91999999999999,44.567052591176
34.4,93.91999999999999,52.546893759137
34.4,93.91999999999999,52.546893759137
34.4,93.91999999999999,52.546893759137
33.9,93.02,54.032269451333
35.0,95.0,46.117234386939
33.9,93.02,49.027453269803
32.8,91.03999999999999,53.761814710134
31.7,89.06,59.3343988816
30.6,87.08000000000001,65.112360320481
29.4,84.91999999999999,72.328259698258
28.3,82.94,79.436376983473
27.8,82.04,81.785542482997
27.8,82.04,81.785542482997
27.2,80.96,84.708481304408
26.7,80.06,87.234314384917
26.7,80.06,87.234314384917
26.7,80.06,87.234314384917
26.1,78.98,84.592808399084
26.1,78.98,87.706782818462
28.3,82.94,79.436376983473
30.6,87.08000000000001,69.565270655215
31.7,89.06,63.407924037965
33.3,91.94,55.877688163835
34.4,93.91999999999999,52.546893759137
34.4,93.91999999999999,54.481215199463
35.6,96.08000000000001,49.166526532935
36.1,96.98,47.831115103431
36.1,96.98,47.831115103431
36.1,96.98,47.831115103431
35.6,96.08000000000001,47.701526536768
35.0,95.0,49.310553733716
33.3,91.94,55.877688163835
32.8,91.03999999999999,61.400271275364
31.7,89.06,65.339053279269
28.9,84.02,65.155250421069
28.9,84.02,67.17318846555
28.9,84.02,71.806422975853
27.8,82.04,79.368328815548
27.2,80.96,87.800683013795
27.8,82.04,87.851459611488
27.2,80.96,87.800683013795
27.2,80.96,90.991188639629
27.2,80.96,90.991188639629
31.1,87.98,70.075117429739
32.8,91.03999999999999,59.585554756944
33.9,93.02,56.021269557567
34.4,93.91999999999999,56.140475763023
35.6,96.08000000000001,50.97641213445
36.7,98.06,47.986143424303
36.7,98.06,46.282425441428
37.8,100.03999999999999,42.289358978613
37.8,100.03999999999999,40.775662191211
37.2,98.96000000000001,40.863634978801
34.4,93.91999999999999,62.117447988292
33.9,93.02,63.873360482874
32.8,91.03999999999999,65.954241890655
31.1,87.98,63.279610168505
31.1,87.98,63.279610168505
30.6,87.08000000000001,69.565270655215
31.7,89.06,74.900632554941
31.1,87.98,79.811585769474
30.6,87.08000000000001,79.74530566981
30.6,87.08000000000001,82.123147037928
30.6,87.08000000000001,82.123147037928
30.0,86.0,82.536233294906
30.0,86.0,82.536233294906
28.3,82.94,87.893537569542
28.9,84.02,84.884784338985
28.3,82.94,87.893537569542
31.1,87.98,74.8049525321
32.8,91.03999999999999,57.470006935954
33.3,91.94,55.877688163835
33.3,91.94,59.699056854528
